id,type,href,ike_dist,price,land_area,house_area,BCR,FAR,nearest_station,station_dist,age,can_not_be_rebuilt,affordable
b-1046560010022,土地,https://www.homes.co.jp/tochi/b-1046560010022/,38,1280.0,60.13,,60,200.0,朝霞台,12,,False,1
b-1040260008529,土地,https://www.homes.co.jp/tochi/b-1040260008529/,33,1280.0,45.34,,60,160.0,朝霞,10,,False,1
b-1172930002412,土地,https://www.homes.co.jp/tochi/b-1172930002412/,32,1380.0,37.09,,60,160.0,地下鉄成増,12,,False,1
b-35005310001849,中古一戸建て,https://www.homes.co.jp/kodate/b-35005310001849/,31,1460.0,52.89,60.02,,,上板橋,11,37.0,False,1
b-1439660000099,中古一戸建て,https://www.homes.co.jp/kodate/b-1439660000099/,34,1480.0,55.14,75.47,,,ひばりヶ丘駅,11,57.0,True,1
b-1271630001714,土地,https://www.homes.co.jp/tochi/b-1271630001714/,38,1480.0,53.22,,60,160.0,朝霞,15,,False,1
b-1029300000968,土地,https://www.homes.co.jp/tochi/b-1029300000968/,34,1480.0,75.06,,60,200.0,和光市,13,,True,1
b-1359690005380,土地,https://www.homes.co.jp/tochi/b-1359690005380/,40,1750.0,82.66,,80,200.0,西所沢,7,,False,1
b-39030740000367,中古一戸建て,https://www.homes.co.jp/kodate/b-39030740000367/,33,1780.0,66.01,62.79,,,下赤塚,14,49.0,False,1
b-1259990001283,土地,https://www.homes.co.jp/tochi/b-1259990001283/,31,1789.0,97.47,,60,200.0,上板橋,11,,False,1
b-1445390000551,中古一戸建て,https://www.homes.co.jp/kodate/b-1445390000551/,34,1880.0,64.69,67.87,,,東武練馬,12,44.0,False,1
b-1318040003868,中古一戸建て,https://www.homes.co.jp/kodate/b-1318040003868/,26,1900.0,47.27,69.42,,,下赤塚,7,55.0,True,1
b-17020970012017,土地,https://www.homes.co.jp/tochi/b-17020970012017/,34,1980.0,273.5,,60,160.0,地下鉄成増,14,,False,1
b-1445390000569,中古一戸建て,https://www.homes.co.jp/kodate/b-1445390000569/,27,1980.0,58.54,54.65,,,平和台,11,27.0,True,1
b-1170260010536,中古一戸建て,https://www.homes.co.jp/kodate/b-1170260010536/,25,1980.0,63.95,86.75,,,十条,13,32.0,True,1
b-1309740000398,中古一戸建て,https://www.homes.co.jp/kodate/b-1309740000398/,31,1980.0,53.58,69.42,,,地下鉄成増,12,58.0,True,1
b-35005310001792,中古一戸建て,https://www.homes.co.jp/kodate/b-35005310001792/,33,1980.0,92.48,99.16,,,練馬春日町,12,59.0,True,1
b-1019620022584,中古一戸建て,https://www.homes.co.jp/kodate/b-1019620022584/,31,1980.0,48.41,48.6,,,東武練馬,9,62.0,False,1
b-1342720022601,土地,https://www.homes.co.jp/tochi/b-1342720022601/,26,1980.0,36.01,,60,200.0,東武練馬,4,,False,1
b-1187850004022,中古一戸建て,https://www.homes.co.jp/kodate/b-1187850004022/,33,1988.0,35.7,61.23,,,和光市,12,52.0,True,1
b-1379290001091,土地,https://www.homes.co.jp/tochi/b-1379290001091/,21,1990.0,41.32,,70,160.0,東十条,5,,False,1
b-88550014535,土地,https://www.homes.co.jp/tochi/b-88550014535/,36,2000.0,92.39,,40,80.0,ひばりヶ丘,13,,False,1
b-1113000009031,中古一戸建て,https://www.homes.co.jp/kodate/b-1113000009031/,36,2080.0,37.0,61.25,,,中浦和,5,36.0,False,1
b-1041380012868,中古一戸建て,https://www.homes.co.jp/kodate/b-1041380012868/,37,2080.0,37.0,61.25,,,中浦和,6,36.0,False,1
b-1251460068755,中古一戸建て,https://www.homes.co.jp/kodate/b-1251460068755/,36,2100.0,49.6,64.58,,,みずほ台,3,16.0,False,1
b-1389720000930,土地,https://www.homes.co.jp/tochi/b-1389720000930/,37,2150.0,74.09,,60,200.0,ひばりヶ丘,14,,False,1
b-1342720022661,中古一戸建て,https://www.homes.co.jp/kodate/b-1342720022661/,35,2180.0,66.87,93.77,,,柳瀬川,4,23.0,False,1
b-88120000592,中古一戸建て,https://www.homes.co.jp/kodate/b-88120000592/,33,2180.0,93.98,93.57,,,石神井公園,15,25.0,True,1
b-1041390012014,土地,https://www.homes.co.jp/tochi/b-1041390012014/,32,2180.0,64.0,,60,160.0,戸田公園,10,,False,1
b-1010870033378,土地,https://www.homes.co.jp/tochi/b-1010870033378/,33,2180.0,59.41,,50,100.0,保谷,10,,False,1
b-1445460000059,土地,https://www.homes.co.jp/tochi/b-1445460000059/,23,2230.0,37.5,,60,150.0,十条,11,,False,1
b-35005310001870,中古一戸建て,https://www.homes.co.jp/kodate/b-35005310001870/,20,2280.0,34.45,48.9,,,練馬,5,40.0,False,1
b-1439660000100,中古一戸建て,https://www.homes.co.jp/kodate/b-1439660000100/,19,2280.0,52.79,70.68,,,氷川台,5,46.0,True,1
b-1245370000862,土地,https://www.homes.co.jp/tochi/b-1245370000862/,17,2290.0,30.4,,60,200.0,椎名町,8,,False,1
b-17020970014237,土地,https://www.homes.co.jp/tochi/b-17020970014237/,22,2300.0,32.46,,80,240.0,富士見台,2,,False,1
b-1073170001816,土地,https://www.homes.co.jp/tochi/b-1073170001816/,22,2300.0,32.46,,80,300.0,富士見台,2,,False,1
b-1443180000018,中古一戸建て,https://www.homes.co.jp/kodate/b-1443180000018/,35,2380.0,65.38,65.78,,,ひばりヶ丘,12,58.0,False,1
b-1445390000544,中古一戸建て,https://www.homes.co.jp/kodate/b-1445390000544/,22,2380.0,49.58,46.28,,,赤羽,7,64.0,True,1
b-17008270000072,土地,https://www.homes.co.jp/tochi/b-17008270000072/,31,2480.0,153.22,,50,80.0,西武バス,5,,False,1
b-1252630008041,中古一戸建て,https://www.homes.co.jp/kodate/b-1252630008041/,32,2480.0,60.87,62.24,,,成増,14,46.0,True,1
b-1265020004377,中古一戸建て,https://www.homes.co.jp/kodate/b-1265020004377/,31,2480.0,214.98,51.23,,,富士見台,11,51.0,True,1
b-1140530010145,中古一戸建て,https://www.homes.co.jp/kodate/b-1140530010145/,16,2480.0,28.66,38.06,,,要町,8,49.0,False,1
b-1252620009208,中古一戸建て,https://www.homes.co.jp/kodate/b-1252620009208/,28,2480.0,51.5,49.49,,,平和台,12,64.0,True,1
b-1445390000534,中古一戸建て,https://www.homes.co.jp/kodate/b-1445390000534/,24,2490.0,69.27,68.64,,,成増,4,46.0,True,1
b-17020970014979,土地,https://www.homes.co.jp/tochi/b-17020970014979/,36,2510.0,54.17,,60,160.0,ひばりヶ丘,13,,False,1
b-89280010451,中古一戸建て,https://www.homes.co.jp/kodate/b-89280010451/,37,2580.0,69.41,160.59,,,清瀬,7,47.0,False,1
b-1206700007360,土地,https://www.homes.co.jp/tochi/b-1206700007360/,27,2580.0,108.1,,60,200.0,北戸田,1,,False,1
b-17002960000459,土地,https://www.homes.co.jp/tochi/b-17002960000459/,39,2680.0,73.13,,60,160.0,清瀬,9,,False,1
b-1113000008645,中古一戸建て,https://www.homes.co.jp/kodate/b-1113000008645/,39,2680.0,69.61,80.16,,,南与野,6,28.0,False,1
b-1389720001300,土地,https://www.homes.co.jp/tochi/b-1389720001300/,33,2680.0,68.31,,40,80.0,保谷,10,,False,1
b-1227780001769,中古一戸建て,https://www.homes.co.jp/kodate/b-1227780001769/,38,2700.0,77.66,76.7,,,柳瀬川,7,35.0,False,1
b-17022090000040,土地,https://www.homes.co.jp/tochi/b-17022090000040/,39,2740.0,100.02,,60,200.0,朝霞台,13,,False,1
b-17007910000314,土地,https://www.homes.co.jp/tochi/b-17007910000314/,36,2780.0,72.27,,60,200.0,東武練馬,14,,False,1
b-17002960000458,土地,https://www.homes.co.jp/tochi/b-17002960000458/,38,2780.0,71.58,,60,200.0,朝霞,15,,False,1
b-1000980063142,中古一戸建て,https://www.homes.co.jp/kodate/b-1000980063142/,40,2780.0,108.09,90.48,,,東久留米,12,24.0,False,1
b-1445390000428,中古一戸建て,https://www.homes.co.jp/kodate/b-1445390000428/,17,2780.0,39.37,43.48,,,鬼子母神前,6,53.0,False,1
b-1439660000102,中古一戸建て,https://www.homes.co.jp/kodate/b-1439660000102/,25,2800.0,29.78,58.28,,,上板橋,5,36.0,False,1
b-1423180000083,土地,https://www.homes.co.jp/tochi/b-1423180000083/,30,2880.0,59.65,,60,200.0,成増,12,,False,1
b-1389720001184,土地,https://www.homes.co.jp/tochi/b-1389720001184/,35,2880.0,79.93,,40,80.0,ひばりヶ丘,12,,False,1
b-1445390000471,中古一戸建て,https://www.homes.co.jp/kodate/b-1445390000471/,15,2890.0,59.5,68.07,,,椎名町,6,57.0,True,1
b-17020970014638,土地,https://www.homes.co.jp/tochi/b-17020970014638/,32,2920.0,60.3,,60,200.0,戸田公園,10,,False,1
b-1010870033404,中古一戸建て,https://www.homes.co.jp/kodate/b-1010870033404/,35,2980.0,100.04,110.29,,,ひばりヶ丘,12,28.0,False,1
b-1416580000025,中古一戸建て,https://www.homes.co.jp/kodate/b-1416580000025/,14,2980.0,47.8,43.79,,,大塚,5,92.0,True,1
b-1448700000144,土地,https://www.homes.co.jp/tochi/b-1448700000144/,30,2980.0,71.15,,40,80.0,保谷,7,,False,1
b-1373820000456,土地,https://www.homes.co.jp/tochi/b-1373820000456/,14,2980.0,32.53,,70,160.0,新大塚,5,,False,1
