D,E,G,J,N,O,Q,S,U,V,X,Z,,,,,,
B,D,E,G,I,N,O,Q,T,U,V,W,X,Z,,,,
B,E,L,N,O,P,Q,U,V,Y,Z,,,,,,,
D,E,G,J,K,O,P,Q,U,V,Z,,,,,,,
A,D,E,G,I,J,K,N,Q,S,U,V,X,Z,,,,
A,B,D,E,G,J,K,L,N,O,P,Q,T,V,W,X,Y,Z
B,D,E,I,N,T,V,X,Y,Z,,,,,,,,
D,E,I,J,O,Q,V,X,Z,,,,,,,,,
B,D,E,F,G,I,J,K,N,O,Q,V,X,Z,,,,
B,D,E,K,P,Q,S,U,V,X,Z,,,,,,,
D,E,J,L,N,U,V,W,X,,,,,,,,,
A,D,J,N,O,P,Q,S,V,W,X,Z,,,,,,
E,I,K,N,O,Q,S,V,X,Z,,,,,,,,
B,D,E,G,N,Q,T,V,W,X,Z,,,,,,,
B,D,E,G,J,Q,S,U,W,X,Z,,,,,,,
B,D,J,N,O,P,Q,V,W,Z,,,,,,,,
D,G,K,N,O,Q,U,W,Y,Z,,,,,,,,
D,E,I,K,L,Q,V,X,,,,,,,,,,
G,L,N,O,S,T,U,V,W,X,Z,,,,,,,
D,E,G,I,L,N,O,Q,V,W,X,Z,,,,,,
A,E,H,J,N,Q,R,S,T,V,W,X,Z,,,,,
D,E,I,L,N,P,Q,V,X,Z,,,,,,,,
B,D,G,I,J,K,N,Q,S,W,Z,,,,,,,
A,B,D,E,J,K,L,M,N,O,Q,U,W,X,Z,,,
B,D,M,N,O,P,Q,S,V,W,X,Z,,,,,,
A,B,E,J,N,O,V,Y,,,,,,,,,,
B,D,E,H,K,N,O,Q,U,X,Z,,,,,,,
A,B,D,E,G,L,N,Q,S,U,V,Z,,,,,,
B,D,F,I,J,K,L,N,Q,V,W,X,,,,,,
A,D,E,G,N,O,P,Q,V,X,,,,,,,,
D,E,K,L,N,O,Q,R,S,V,W,,,,,,,
B,D,G,J,N,O,P,Q,V,X,Z,,,,,,,
A,D,E,J,K,L,N,O,P,Q,T,U,V,X,Y,Z,,
B,E,G,I,L,N,O,Q,U,Z,,,,,,,,
B,D,G,I,N,O,Q,S,U,V,W,X,Y,Z,,,,
B,E,O,Q,S,W,Z,,,,,,,,,,,
A,B,D,E,G,N,O,P,Q,U,V,Y,,,,,,
D,E,H,J,K,Q,U,V,Z,,,,,,,,,
E,G,I,L,T,U,V,X,Y,Z,,,,,,,,
A,D,E,G,J,N,Q,W,X,,,,,,,,,
B,D,E,L,O,P,V,X,Z,,,,,,,,,
