id,type,href,ike_dist,price,land_area,house_area,BCR,FAR,nearest_station,station_dist,age,can_not_be_rebuilt
b-1046560010022,土地,https://www.homes.co.jp/tochi/b-1046560010022/,38,1280,60.13,nan,60,200,朝霞台,12,nan,False
b-1040260008529,土地,https://www.homes.co.jp/tochi/b-1040260008529/,33,1280,45.34,nan,60,160,朝霞,10,nan,False
b-1172930002412,土地,https://www.homes.co.jp/tochi/b-1172930002412/,32,1380,37.09,nan,60,160,地下鉄成増,12,nan,False
b-1194040215612,土地,https://www.homes.co.jp/tochi/b-1194040215612/,32,1380,37.09,nan,60,160,地下鉄成増,12,nan,False
b-35005310001849,中古一戸建て,https://www.homes.co.jp/kodate/b-35005310001849/,31,1460,52.89,60.02,nan,nan,上板橋,11,37,False
b-1439660000099,中古一戸建て,https://www.homes.co.jp/kodate/b-1439660000099/,34,1480,55.14,75.47,nan,nan,ひばりヶ丘駅,11,57,True
b-1271630001714,土地,https://www.homes.co.jp/tochi/b-1271630001714/,38,1480,53.22,nan,60,160,朝霞,15,nan,False
b-1029300000968,土地,https://www.homes.co.jp/tochi/b-1029300000968/,34,1480,75.06,nan,60,200,和光市,13,nan,True
b-1359690005380,土地,https://www.homes.co.jp/tochi/b-1359690005380/,40,1750,82.66,nan,80,200,西所沢,7,nan,False
b-39030740000367,中古一戸建て,https://www.homes.co.jp/kodate/b-39030740000367/,33,1780,66.01,62.79,nan,nan,下赤塚,14,49,False
b-1259990001283,土地,https://www.homes.co.jp/tochi/b-1259990001283/,31,1789,97.47,nan,60,200,上板橋,11,nan,False
b-1412500000247,土地,https://www.homes.co.jp/tochi/b-1412500000247/,31,1789,97.47,nan,60,200,上板橋,11,nan,False
b-1445390000551,中古一戸建て,https://www.homes.co.jp/kodate/b-1445390000551/,34,1880,64.69,67.87,nan,nan,東武練馬,12,44,False
b-1318040003868,中古一戸建て,https://www.homes.co.jp/kodate/b-1318040003868/,26,1900,47.27,69.42,nan,nan,下赤塚,7,55,True
b-17020970012017,土地,https://www.homes.co.jp/tochi/b-17020970012017/,34,1980,273.50,nan,60,160,地下鉄成増,14,nan,False
b-1445390000569,中古一戸建て,https://www.homes.co.jp/kodate/b-1445390000569/,27,1980,58.54,54.65,nan,nan,平和台,11,27,True
b-1170260010536,中古一戸建て,https://www.homes.co.jp/kodate/b-1170260010536/,25,1980,63.95,86.75,nan,nan,十条,13,32,True
b-1309740000398,中古一戸建て,https://www.homes.co.jp/kodate/b-1309740000398/,31,1980,53.58,69.42,nan,nan,地下鉄成増,12,58,True
b-35005310001792,中古一戸建て,https://www.homes.co.jp/kodate/b-35005310001792/,33,1980,92.48,99.16,nan,nan,練馬春日町,12,59,True
b-1019620022584,中古一戸建て,https://www.homes.co.jp/kodate/b-1019620022584/,31,1980,48.41,48.6,nan,nan,東武練馬,9,62,False
b-1342720022601,土地,https://www.homes.co.jp/tochi/b-1342720022601/,26,1980,36.01,nan,60,200,東武練馬,4,nan,False
b-1187850004022,中古一戸建て,https://www.homes.co.jp/kodate/b-1187850004022/,33,1988,35.7,61.23,nan,nan,和光市,12,52,True
b-1379290001091,土地,https://www.homes.co.jp/tochi/b-1379290001091/,21,1990,41.32,nan,70,160,東十条,5,nan,False
b-88550014535,土地,https://www.homes.co.jp/tochi/b-88550014535/,36,2000,92.39,nan,40,80,ひばりヶ丘,13,nan,False
b-90640000470,土地,https://www.homes.co.jp/tochi/b-90640000470/,36,2000,92.39,nan,40,80,ひばりヶ丘,13,nan,False
b-88580017166,土地,https://www.homes.co.jp/tochi/b-88580017166/,36,2000,92.39,nan,40,80,ひばりヶ丘,13,nan,False
b-89280012535,土地,https://www.homes.co.jp/tochi/b-89280012535/,36,2000,92.39,nan,40,80,ひばりヶ丘,13,nan,False
b-1000980064555,土地,https://www.homes.co.jp/tochi/b-1000980064555/,36,2000,92.39,nan,40,80,ひばりヶ丘,13,nan,False
b-9500062288,土地,https://www.homes.co.jp/tochi/b-9500062288/,36,2000,92.39,nan,40,80,ひばりヶ丘,13,nan,False
b-1217370001931,土地,https://www.homes.co.jp/tochi/b-1217370001931/,36,2000,92.39,nan,40,80,ひばりヶ丘,13,nan,False
b-1113000009031,中古一戸建て,https://www.homes.co.jp/kodate/b-1113000009031/,36,2080,37,61.25,nan,nan,中浦和,5,36,False
b-1041380012868,中古一戸建て,https://www.homes.co.jp/kodate/b-1041380012868/,37,2080,37,61.25,nan,nan,中浦和,6,36,False
b-1251460068755,中古一戸建て,https://www.homes.co.jp/kodate/b-1251460068755/,36,2100,49.6,64.58,nan,nan,みずほ台,3,16,False
b-1389720000930,土地,https://www.homes.co.jp/tochi/b-1389720000930/,37,2150,74.09,nan,60,200,ひばりヶ丘,14,nan,False
b-1342720022661,中古一戸建て,https://www.homes.co.jp/kodate/b-1342720022661/,35,2180,66.87,93.77,nan,nan,柳瀬川,4,23,False
b-88120000592,中古一戸建て,https://www.homes.co.jp/kodate/b-88120000592/,33,2180,93.98,93.57,nan,nan,石神井公園,15,25,True
b-1041390012014,土地,https://www.homes.co.jp/tochi/b-1041390012014/,32,2180,64,nan,60,160,戸田公園,10,nan,False
b-1010870033378,土地,https://www.homes.co.jp/tochi/b-1010870033378/,33,2180,59.41,nan,50,100,保谷,10,nan,False
b-1445460000059,土地,https://www.homes.co.jp/tochi/b-1445460000059/,23,2230,37.5,nan,60,150,十条,11,nan,False
b-35005310001870,中古一戸建て,https://www.homes.co.jp/kodate/b-35005310001870/,20,2280,34.45,48.9,nan,nan,練馬,5,40,False
b-1439660000100,中古一戸建て,https://www.homes.co.jp/kodate/b-1439660000100/,19,2280,52.79,70.68,nan,nan,氷川台,5,46,True
b-1245370000862,土地,https://www.homes.co.jp/tochi/b-1245370000862/,17,2290,30.4,nan,60,200,椎名町,8,nan,False
b-17020970014237,土地,https://www.homes.co.jp/tochi/b-17020970014237/,22,2300,32.46,nan,80,240,富士見台,2,nan,False
b-1073170001816,土地,https://www.homes.co.jp/tochi/b-1073170001816/,22,2300,32.46,nan,80,300,富士見台,2,nan,False
b-1443180000018,中古一戸建て,https://www.homes.co.jp/kodate/b-1443180000018/,35,2380,65.38,65.78,nan,nan,ひばりヶ丘,12,58,False
b-1445390000544,中古一戸建て,https://www.homes.co.jp/kodate/b-1445390000544/,22,2380,49.58,46.28,nan,nan,赤羽,7,64,True
b-17008270000072,土地,https://www.homes.co.jp/tochi/b-17008270000072/,31,2480,153.22,nan,50,80,西武バス,5,nan,False
b-1252630008041,中古一戸建て,https://www.homes.co.jp/kodate/b-1252630008041/,32,2480,60.87,62.24,nan,nan,成増,14,46,True
b-1265020004377,中古一戸建て,https://www.homes.co.jp/kodate/b-1265020004377/,31,2480,214.98,51.23,nan,nan,富士見台,11,51,True
b-1140530010145,中古一戸建て,https://www.homes.co.jp/kodate/b-1140530010145/,16,2480,28.66,38.06,nan,nan,要町,8,49,False
b-1252620009208,中古一戸建て,https://www.homes.co.jp/kodate/b-1252620009208/,28,2480,51.5,49.49,nan,nan,平和台,12,64,True
b-1445390000534,中古一戸建て,https://www.homes.co.jp/kodate/b-1445390000534/,24,2490,69.27,68.64,nan,nan,成増,4,46,True
b-17020970014979,土地,https://www.homes.co.jp/tochi/b-17020970014979/,36,2510,54.17,nan,60,160,ひばりヶ丘,13,nan,False
b-89280010451,中古一戸建て,https://www.homes.co.jp/kodate/b-89280010451/,37,2580,69.41,160.59,nan,nan,清瀬,7,47,False
b-1206700007360,土地,https://www.homes.co.jp/tochi/b-1206700007360/,27,2580,108.1,nan,60,200,北戸田,1,nan,False
b-17002960000459,土地,https://www.homes.co.jp/tochi/b-17002960000459/,39,2680,73.13,nan,60,160,清瀬,9,nan,False
b-1113000008645,中古一戸建て,https://www.homes.co.jp/kodate/b-1113000008645/,39,2680,69.61,80.16,nan,nan,南与野,6,28,False
b-1062360004355,土地,https://www.homes.co.jp/tochi/b-1062360004355/,39,2680,73.13,nan,60,160,清瀬,9,nan,False
b-1217180001230,土地,https://www.homes.co.jp/tochi/b-1217180001230/,39,2680,73.13,nan,60,160,清瀬,9,nan,False
b-1389720001300,土地,https://www.homes.co.jp/tochi/b-1389720001300/,33,2680,68.31,nan,40,80,保谷,10,nan,False
b-1227780001769,中古一戸建て,https://www.homes.co.jp/kodate/b-1227780001769/,38,2700,77.66,76.7,nan,nan,柳瀬川,7,35,False
b-17022090000040,土地,https://www.homes.co.jp/tochi/b-17022090000040/,39,2740,100.02,nan,60,200,朝霞台,13,nan,False
b-17007910000314,土地,https://www.homes.co.jp/tochi/b-17007910000314/,36,2780,72.27,nan,60,200,東武練馬,14,nan,False
b-17002960000458,土地,https://www.homes.co.jp/tochi/b-17002960000458/,38,2780,71.58,nan,60,200,朝霞,15,nan,False
b-1000980063142,中古一戸建て,https://www.homes.co.jp/kodate/b-1000980063142/,40,2780,108.09,90.48,nan,nan,東久留米,12,24,False
b-1445390000428,中古一戸建て,https://www.homes.co.jp/kodate/b-1445390000428/,17,2780,39.37,43.48,nan,nan,鬼子母神前,6,53,False
