id,type,href,ike_dist,price,land_area,house_area,BCR,FAR,nearest_station,station_dist,age,can_not_be_rebuilt
b-1046560010022,"
    土地
  ",https://www.homes.co.jp/tochi/b-1046560010022/,38,1280,60.13,nan,60,200,朝霞台,12,nan,False
b-1040260008529,"
    土地
  ",https://www.homes.co.jp/tochi/b-1040260008529/,33,1280,45.34,nan,60,160,朝霞,10,nan,False
b-1172930002412,"
    土地
  ",https://www.homes.co.jp/tochi/b-1172930002412/,32,1380,37.09,nan,60,160,地下鉄成増,12,nan,False
b-1194040215612,"
    土地
  ",https://www.homes.co.jp/tochi/b-1194040215612/,32,1380,37.09,nan,60,160,地下鉄成増,12,nan,False
b-35005310001849,中古一戸建て,https://www.homes.co.jp/kodate/b-35005310001849/,31,1460,52.89,60.02,nan,nan,上板橋,11,37,False
b-1439660000099,中古一戸建て,https://www.homes.co.jp/kodate/b-1439660000099/,34,1480,55.14,75.47,nan,nan,ひばりヶ丘駅,11,57,True
b-1271630001714,"
    土地
  ",https://www.homes.co.jp/tochi/b-1271630001714/,38,1480,53.22,nan,60,160,朝霞,15,nan,False
b-1029300000968,"
    土地
  ",https://www.homes.co.jp/tochi/b-1029300000968/,34,1480,75.06,nan,60,200,和光市,13,nan,True
b-1359690005380,"
    土地
  ",https://www.homes.co.jp/tochi/b-1359690005380/,40,1750,82.66,nan,80,200,西所沢,7,nan,False
b-39030740000367,中古一戸建て,https://www.homes.co.jp/kodate/b-39030740000367/,33,1780,66.01,62.79,nan,nan,下赤塚,14,49,False
b-1259990001283,"
    土地
  ",https://www.homes.co.jp/tochi/b-1259990001283/,31,1789,97.47,nan,60,200,上板橋,11,nan,False
b-1412500000247,"
    土地
  ",https://www.homes.co.jp/tochi/b-1412500000247/,31,1789,97.47,nan,60,200,上板橋,11,nan,False
b-1445390000551,中古一戸建て,https://www.homes.co.jp/kodate/b-1445390000551/,34,1880,64.69,67.87,nan,nan,東武練馬,12,44,False
b-1318040003868,中古一戸建て,https://www.homes.co.jp/kodate/b-1318040003868/,26,1900,47.27,69.42,nan,nan,下赤塚,7,55,True
b-17020970012017,土地,https://www.homes.co.jp/tochi/b-17020970012017/,34,1980,273.50,nan,60,160,地下鉄成増,1453,nan,False
b-1445390000569,中古一戸建て,https://www.homes.co.jp/kodate/b-1445390000569/,27,1980,58.54,54.65,nan,nan,平和台,11,27,True
b-1080060003957,中古一戸建て,https://www.homes.co.jp/kodate/b-1080060003957/,25,1980,63.95,86.75,nan,nan,十条,13,32,True
b-1309740000398,中古一戸建て,https://www.homes.co.jp/kodate/b-1309740000398/,31,1980,53.58,69.42,nan,nan,地下鉄成増,12,58,True
b-35005310001792,中古一戸建て,https://www.homes.co.jp/kodate/b-35005310001792/,33,1980,92.48,99.16,nan,nan,練馬春日町,12,59,True
b-1019620022584,中古一戸建て,https://www.homes.co.jp/kodate/b-1019620022584/,31,1980,48.41,48.6,nan,nan,東武練馬,9,62,False
b-1342720022601,"
    土地
  ",https://www.homes.co.jp/tochi/b-1342720022601/,26,1980,36.01,nan,60,200,東武練馬,4,nan,False
b-1187850004022,中古一戸建て,https://www.homes.co.jp/kodate/b-1187850004022/,33,1988,35.7,61.23,nan,nan,和光市,12,52,True
b-1379290001091,"
    土地
  ",https://www.homes.co.jp/tochi/b-1379290001091/,21,1990,41.32,nan,70,160,東十条,5,nan,False
b-1000980064555,"
    土地
  ",https://www.homes.co.jp/tochi/b-1000980064555/,36,2000,92.39,nan,40,80,ひばりヶ丘,13,nan,False
b-88550014535,"
    土地
  ",https://www.homes.co.jp/tochi/b-88550014535/,36,2000,92.39,nan,40,80,ひばりヶ丘,13,nan,False
b-90640000470,"
    土地
  ",https://www.homes.co.jp/tochi/b-90640000470/,36,2000,92.39,nan,40,80,ひばりヶ丘,13,nan,False
b-88580017166,"
    土地
  ",https://www.homes.co.jp/tochi/b-88580017166/,36,2000,92.39,nan,40,80,ひばりヶ丘,13,nan,False
b-89280012535,"
    土地
  ",https://www.homes.co.jp/tochi/b-89280012535/,36,2000,92.39,nan,40,80,ひばりヶ丘,13,nan,False
b-1217370001931,"
    土地
  ",https://www.homes.co.jp/tochi/b-1217370001931/,36,2000,92.39,nan,40,80,ひばりヶ丘,13,nan,False
b-9500062288,"
    土地
  ",https://www.homes.co.jp/tochi/b-9500062288/,36,2000,92.39,nan,40,80,ひばりヶ丘,13,nan,False
